x,y,z,intensity
1.5,0.0,0.0,20.0
1.43378,0.52337,0.4724,21.8
1.18752,1.00023,0.93926,23.6
0.78564,1.36962,1.39525,25.4
0.27284,1.58191,1.83548,27.2
-0.29082,1.60545,2.2557,29.0
-0.83698,1.43111,2.65243,30.8
-1.29723,1.07413,3.02315,32.6
-1.6117,0.57301,3.36637,34.4
-1.73678,-0.0146,3.68169,36.2
-1.65112,-0.61849,3.96984,38.0
-1.35892,-1.16428,4.23261,39.8
-0.89021,-1.5826,4.47282,41.6
-0.29782,-1.81787,4.69418,43.4
0.34848,-1.83564,4.90116,45.2
0.97027,-1.62745,5.09878,47.0
1.4899,-1.2127,5.29247,48.8
1.84027,-0.6369,5.48779,50.6
1.97341,0.03319,-0.30976,52.4
1.86695,0.71729,-0.09497,54.2
1.52764,1.33126,0.1369,56.0
0.99125,1.79742,0.3899,57.8
0.31886,2.05435,0.66721,59.6
-0.41003,2.06495,0.97108,61.4
-1.1069,1.82165,1.30268,63.2
-1.68498,1.34809,1.66209,65.0
-2.07002,0.69698,2.04825,66.8
-2.20982,-0.05575,2.45906,68.6
-2.08122,-0.81976,2.89145,70.4
-1.69364,-1.50116,3.34145,72.2
-1.08873,-2.01404,3.80441,74.0
-0.33593,-2.29129,4.27517,75.8
0.47546,-2.29334,4.74825,77.6
1.24687,-2.01364,5.21808,79.4
1.88243,-1.48028,5.67921,81.2
2.3009,-0.75324,6.12656,83.0
2.44598,0.08229,0.55557,84.8
2.29388,0.92587,0.96243,86.6
1.85687,1.67392,1.34421,88.4
1.18263,2.23241,1.69898,90.2
0.34904,2.52866,2.02588,92.0
-0.54475,2.52076,2.32518,93.8
-1.39013,2.20339,2.59822,95.6
-2.08221,1.60923,2.84741,97.4
-2.53285,0.80566,3.07611,99.2
-2.68184,-0.1128,3.28848,101.0
-2.50489,-1.03561,3.48936,102.8
-2.01731,-1.84953,3.68401,104.6
-1.27293,-2.45249,3.87797,106.4
-0.35818,-2.76638,4.0768,108.2
0.6179,-2.74716,4.28585,110.0
1.53666,-2.39087,4.51009,111.8
2.28427,-1.73492,4.75385,113.6
2.76583,-0.85423,5.02072,115.4
2.91734,0.14729,-0.68666,117.2
2.7142,1.14896,-0.36666,119.0
2.17491,2.02794,-0.01876,120.8
1.3596,2.67423,0.35647,122.6
0.36335,3.00442,0.75735,124.4
-0.69488,2.97249,1.1812,126.2
-1.68643,2.57602,1.6244,128.0
-2.48859,1.85731,2.08257,129.8
-2.99979,0.89893,2.55074,131.6
-3.15243,-0.18574,3.02354,133.4
-2.92176,-1.2659,3.49539,135.2
-2.32964,-2.20913,3.96078,137.0
-1.44263,-2.89758,4.41445,138.8
-0.36453,-3.24273,4.8516,140.6
0.7757,-3.19671,5.26808,142.4
1.83941,-2.75881,5.66059,144.2
2.69511,-1.97638,6.02676,146.0
3.23468,-0.93975,6.36529,147.8
