Time,SG_Front_Left,SG_Front_Right,SG_Rear_Left,SG_Rear_Right,Accel_Z,Temperature_C
0.25,0.039,0.060,0.018,0.037,9.819,22.03
0.75,0.194,0.214,0.132,0.152,9.852,22.10
1.25,0.342,0.361,0.241,0.262,9.884,22.18
1.75,0.475,0.495,0.342,0.364,9.912,22.25
2.25,0.592,0.614,0.431,0.455,9.935,22.33
2.75,0.688,0.712,0.505,0.532,9.950,22.41
3.25,0.760,0.787,0.562,0.592,9.958,22.48
3.75,0.807,0.838,0.600,0.634,9.956,22.56
4.25,0.825,0.861,0.617,0.654,9.946,22.63
4.75,0.813,0.855,0.613,0.654,9.925,22.71
5.25,0.774,0.822,0.589,0.632,9.897,22.78
5.75,0.709,0.762,0.544,0.591,9.863,22.86
6.25,0.622,0.680,0.483,0.534,9.827,22.94
6.75,0.516,0.579,0.408,0.462,9.793,23.01
7.25,0.398,0.466,0.322,0.379,9.762,23.09
7.75,0.272,0.344,0.230,0.290,9.738,23.16
8.25,0.144,0.219,0.136,0.199,9.722,23.24
8.75,0.019,0.095,0.044,0.109,9.716,23.31
9.25,-0.099,-0.022,-0.044,0.024,9.720,23.39
9.75,-0.205,-0.128,-0.122,-0.053,9.734,23.46
10.25,-0.294,-0.218,-0.188,-0.119,9.758,23.54
