Time,SG_Front_Left,SG_Front_Right,SG_Rear_Left,SG_Rear_Right,Accel_Z,Temperature_C
0.00,0.000,0.018,-0.012,0.006,9.810,22.00
0.50,0.152,0.168,0.101,0.119,9.842,22.08
1.00,0.297,0.312,0.209,0.226,9.873,22.15
1.50,0.428,0.443,0.309,0.326,9.901,22.22
2.00,0.544,0.560,0.398,0.416,9.924,22.30
2.50,0.639,0.657,0.472,0.493,9.940,22.37
3.00,0.711,0.731,0.529,0.552,9.948,22.45
3.50,0.758,0.781,0.568,0.594,9.947,22.52
4.00,0.777,0.804,0.586,0.615,9.937,22.60
4.50,0.767,0.798,0.584,0.616,9.918,22.67
5.00,0.729,0.764,0.561,0.596,9.891,22.75
5.50,0.665,0.704,0.518,0.556,9.858,22.82
6.00,0.579,0.622,0.458,0.499,9.823,22.90
6.50,0.474,0.520,0.383,0.427,9.789,22.98
7.00,0.357,0.406,0.298,0.345,9.759,23.05
7.50,0.232,0.283,0.207,0.257,9.735,23.12
8.00,0.104,0.157,0.113,0.166,9.719,23.20
8.50,-0.020,0.034,0.021,0.077,9.713,23.28
9.00,-0.137,-0.083,-0.066,-0.008,9.717,23.35
9.50,-0.242,-0.189,-0.143,-0.084,9.731,23.42
10.00,-0.330,-0.278,-0.208,-0.149,9.754,23.50
