NodeID,X,Y,Z,sx_Mode1,sy_Mode1,sz_Mode1,sxy_Mode1,syz_Mode1,sxz_Mode1,sx_Mode2,sy_Mode2,sz_Mode2,sxy_Mode2,syz_Mode2,sxz_Mode2,sx_Mode3,sy_Mode3,sz_Mode3,sxy_Mode3,syz_Mode3,sxz_Mode3
200001,138.2,-58.4,320.0,18.824,116.364,-279.674,10.29,-19.244,129.878,109.468,-63.093,55.424,34.512,80.447,-43.112,-49.266,62.514,-102.508,-14.364,-45.076,56.224
200002,142.8,-45.9,324.4,31.124,43.604,28.768,113.192,-37.644,155.846,-104.774,97.99,103.994,35.494,58.227,57.478,60.333,-36.925,-43.883,12.747,-38.986,13.279
200003,146.3,-33.1,328.9,-62.736,76.52,62.28,270.28,-82.862,102.66,18.465,-16.079,-26.478,113.564,59.384,-85.695,-25.988,28.501,29.841,16.142,-51.688,70.053
200004,148.7,-19.9,333.3,-31.624,-94.16,107.48,-81.884,19.53,117.754,75.829,-90.661,-25.592,-45.355,-16.686,9.257,-46.106,19.73,41.524,0.543,13.517,26.989
200005,149.9,-6.7,337.8,89.622,50.22,-195.828,-73.928,-5.876,-93.19,17.343,-49.842,-20.64,44.222,-151.657,-122.282,15.432,38.199,-42.28,-41.769,73.672,35.679
200006,149.9,6.7,342.2,-225.46,32.888,108.324,-54.592,107.712,-188.492,-27.092,-49.991,-50.481,31.72,48.213,63.008,-47.026,33.624,54.099,-30.38,4.966,-81.816
200007,148.7,19.9,346.7,-109.578,32.32,-52.364,75.14,46.144,-54.826,-79.413,-60.604,-30.019,51.289,78.878,23.566,10.014,38.738,0.85,-5.296,-26.761,-26.397
200008,146.3,33.1,351.1,-145.714,-60.774,71.436,84.534,-56.612,-248.306,-88.118,-17.607,-25.599,32.637,-7.231,78.425,4.641,-7.564,31.86,6.479,-11.596,-105.508
200009,142.8,45.9,355.6,-191.882,33.866,-23.182,-31.554,-125.476,-130.28,48.443,100.006,-136.661,-82.539,-13.163,-1.045,-75.498,-40.537,61.59,32.491,-27.122,-34.422
200010,138.2,58.4,360.0,74.704,61.228,-106.166,-1.202,30.674,203.446,193.517,-7.387,116.573,52.82,6.07,78.806,-75.982,20.086,-86.314,-26.53,5.215,15.463
