NodeID,X,Y,Z,sx_Case1,sy_Case1,sz_Case1,sxy_Case1,syz_Case1,sxz_Case1,sx_Case2,sy_Case2,sz_Case2,sxy_Case2,syz_Case2,sxz_Case2
200001,138.2,-58.4,320.0,15.24,37.52,-97.55,6.39,-0.84,43.97,-52.0,47.03,-65.11,-15.81,-42.65,38.89
200002,142.8,-45.9,324.4,3.3,23.38,18.44,43.92,-9.24,61.13,56.36,-42.96,-47.94,-2.5,-34.05,-7.73
200003,146.3,-33.1,328.9,-21.42,26.62,20.64,107.08,-25.61,30.8,-17.61,18.27,21.54,-20.32,-40.69,56.45
200004,148.7,-19.9,333.3,-5.7,-41.22,37.16,-33.28,5.83,43.57,-42.01,32.53,27.16,11.61,10.93,11.18
200005,149.9,-6.7,337.8,33.95,14.46,-72.86,-23.52,-13.76,-43.29,3.38,31.56,-15.98,-31.94,74.75,48.41
200006,149.9,6.7,342.2,-84.14,8.14,35.56,-17.44,42.9,-63.78,-16.74,29.31,39.67,-23.12,-9.57,-56.66
200007,148.7,19.9,346.7,-45.97,7.12,-21.36,31.28,22.84,-18.15,24.86,34.52,7.93,-15.47,-33.1,-19.09
200008,146.3,33.1,351.1,-59.79,-23.47,24.04,33.27,-21.16,-84.37,24.35,0.62,22.33,-4.92,-3.99,-72.36
200009,142.8,45.9,355.6,-66.13,19.99,-18.91,-17.81,-46.68,-47.5,-49.86,-45.27,64.96,36.88,-10.27,-16.95
200010,138.2,58.4,360.0,42.02,21.72,-29.71,3.61,11.63,80.09,-86.37,11.89,-72.3,-26.47,1.09,-11.97
