NodeID,X,Y,Z,sx,sy,sz,sxy,syz,sxz
200001,138.2,-58.4,320.0,62.764,78.242,-228.336,23.705,16.374,98.763
200002,142.8,-45.9,324.4,-15.875,80.246,69.416,116.667,-9.478,164.236
200003,146.3,-33.1,328.9,-48.694,62.091,44.929,290.642,-49.663,56.454
200004,148.7,-19.9,333.3,3.306,-122.648,85.954,-92.637,10.579,109.785
200005,149.9,-6.7,337.8,87.868,24.3,-184.772,-47.976,-68.783,-135.015
200006,149.9,6.7,342.2,-214.125,8.649,76.292,-35.82,117.064,-143.151
200007,148.7,19.9,346.7,-131.806,3.694,-59.666,89.056,74.528,-39.444
200008,146.3,33.1,351.1,-167.952,-62.033,53.532,89.696,-53.945,-190.493
200009,142.8,45.9,355.6,-152.298,72.331,-78.069,-62.939,-118.366,-117.613
200010,138.2,58.4,360.0,148.214,51.976,-46.678,21.034,30.13,215.977
